	15681
Tom DiChristopher	1
jelmquist@stwnewspress.com(Jason Elmquist)	1
Laura Hughes	1
Jacquie Hayes	1
TREVOR PHIBBS	1
Michael Lerseth	1
Elise Shaw	1
Evan Woodbery, NOLA.com | The Times-Picayune	1
Jeremy Cooper	1
Ana Swanson, The Washington Post	1
Curtis M. Wong	1
Allan Seccombe	1
S S Kamal	1
Chris O’Leary	1
Gordon Fairclough	1
Source: NewsFactor	1
Andree Kehn/Sun Journal	1
JOHN PERROTTO	1
Danielle Ivory and Keith Bradsher	1
Rob Harris The Associated Press	1
Cassie Boss	1
The UB Post	1
Stefan Lange	1
Elizabeth Wagmeister,	1
John Strege	1
Source: South Yorkshire Times	1
Timothy Puko	1
DENNIS SEMRAU	1
Herald Staff	1
Paula Allen	1
Philip Algieri	1
Kate Leitao	1
Zeina Karam and Bassem Mroue, The Associated Press	1
WAKA TSUNODA	1
R. Sree Ram	1
Eric Avidon/Daily News Staff	1
CHRIS LEHOURITES	1
Steve Matthews	1
Sue Blaine	1
Kingshuk Niyogy	1
SUE MANNING	1
Syed Zain Al-Mahmood	1
Alayne Yeash	1
Saikat Chatterjee	1
Barbara Haislip	1
VIVUS, Inc.	1
Noah Buhayar and Sonali Basak	1
Mike Preston The Baltimore Sun (TNS)	1
Tim Binsted and John Kehoe	1
Ovation Music &amp; Studios, Inc.	1
Michael Heath	1
Leanne Italie	1
RE/MAX Holdings, Inc.	1
Brian Stupp	1
Lauren O'Neil	1
Lena H. Sun Washington Post	1
Terry Gilliam	1
Kimberley Willis	1
Broadcasting & Cable and Multichannel News	1
Katy Daly	1
Brooke Bates	1
Leo Lewis	1
Gautham Nagesh	1
Kevin McGran	1
John von Radowitz	1
ERIC TUCKER	1
Karen Tumulty	1
JOSH BOAK, AP Economics Writer	1
John Dietz	1
Brett Frieman	1
Svea Herbst-Bayliss and	1
Cathy Cooper	1
wlcmyralou7@gmail.com(Carroll Louise)	1
theSundaily	1
Sean Sposito	1
Nick Tavares Present Tense	1
GREG TARTAGLIA	1
Lianting Tu	1
Adrian Wyld	1
Joanna Sugden	1
Dna Web desk	1
MATT EHALT	1
Hayley Peterson	1
Institute of Physics	1
Sharmin Kent	1
SETH BORENSTEIN	1
Laura McCallister, Multimedia Producer	1
ROSEMAIN	1
Sofia Horta E Costa	1
Schnurman	1
Yun-Hee Kim	1
LINDSEY BAHR | AP Film Writer	1
newsnet5.com staff	1
TOM INCANTALUPO	1
Geo Coelho	1
Kelly Lee	1
"Carla Meyer 
cmeyer@sacbee.com"	1
Reghu Balakrishnan	1
TOM HAYS | Associated Press	1
Stephen Hawkins  AP Sports Writer	1
ROBERT BURNS | AP National Security Writer	1
Zach Seemayer ET Online	1
Jason Steele	1
Joe Dorish	1
Trulia	1
Maarten Mittner	1
Siobhan McFadyen	1
Sumathi Reddy	1
Tribune News Service (TNS)	1
Andrew Scott	1
Rooksana Hossenally	1
Rosenthol Curtis	1
Vick Mickunas	1
Jorge L. Ortiz, USA TODAY Sports	1
Jesse Singal	1
Gillian Wong	1
QUENTIN HARDY	1
Susan Hayes	1
Chantelle Symester	1
Steve Floyd	1
Hanh Nguyen, TV GUIDE	1
Cristina Tuso	1
Samantha Valtierra Bush	1
Stephen Bergeron	1
TOM GULITTI	1
Vidhi Choudhary	1
Special to The Sentinel	1
MAURICIO SAVARESE Associated Press	1
Source: ClickOnDetroit	1
Jeanne Lee	1
Lindsey Bartlett	1
Chris Arringdale	1
Heather Kelly	1
Zillow Group	1
Alexandra Posadzki	1
Yesenia Robles	1
Robert Johnson and Roland Czerniawski	1
SensoMotoric Instruments GmbH (SMI)	1
Momentum Worldwide	1
Julia Germeyer	1
Brendan Sonnone	1
Wires English | ANI	1
Andrew Kramer and Anne Barnard	1
GMR Marketing	1
Agence France-Presse in Delhi	1
Mairi Mackay, CNN	1
Timothy Smith	1
TOM CANAVAN, Associated Press	1
Source: WKXW-FM Trenton	1
Richard Griffin	1
Marnie O’Neill	1
Gabriel Kane	1
broberts@herald-leader.com (Ben Roberts)	1
Kristie Rieken	1
Shannon Green, Mike Bianchi	1
Charlotte Andrist	1
Dave Hyde	1
Source: St. Cloud Times	1
Chrissie Dickinson	1
Jonathan M. Hicap	1
Nossaman LLP	1
newsroom@capegazette.com (Staff)	1
Amy Sawitta Lefevre	1
Asociación RUVID	1
Edward Krudy	1
Jethro Nededog	1
Morrison &amp; Foerster LLP - JOBS Act	1
COLIN BERTRAM and DAMIAN GEMINDER	1
Steve Chirokas	1
Pittsburgh Post-Gazette	1
CHRISTOPHER CLAREY	1
staff reporter Wang Xiaoqing	1
Robert Burdett and Gary Potter	1
Sandy Cohen Associated Press	1
Margaret Patrick	1
Emma Blake	1
AL.com and the Press-Register	1
Felicity Frederiksen	1
Christine Marino	1
Lisa Schneider	1
Sudhir Badami	1
Amy Miller, Communications Manager	1
Michelle Chernicoff	1
Colin Powers | cpowers@oregonian.com	1
David Preston	1
Virgin Pulse	1
Carrie Cummings	1
BASSEM MROUE | Associated Press	1
Times-News	1
Angus Macaulay	1
Chana R. Schoenberger	1
WMNGAdams	1
Kendale Miller	1
dna     | From the print edition	1
Wires English	1
Rich Exner, Northeast Ohio Media Group	1
YURI KAGEYAMA AP Business Writer	1
Brian Burden	1
Candace Krebs Contributing Writer	1
LORI RILEY	1
Stuart Tomlinson | The Oregonian/OregonLive	1
Pillsbury’s Social Media &amp; Games Law Blog	1
Kaplan University	1
ANDREW SELIGMAN	1
Griffin, S.	1
Laila Bassam	1
Matthew Daly, Associated Press	1
Wake Forest Baptist Medical Center	1
Josh Scherer	1
Nina Martin (ProPublica) and Amy Yurkanin (AL.com)	1
Blake Schmidt	1
Zimmerman Advertising	1
Mark Magnier	1
Source: KOTA-TV Rapid City	1
Georgia Suter	1
Chris Kudialis	1
Anna Kitanaka	1
Victoria Miller	1
Jackie Thrasivoulos	1
Brandon Tipton	1
Yoni Kempinski	1
Tom Anderson	1
Jeff Zrebiec	1
Gayle Tzemach Lemmon	1
BRETT MARTEL	1
Will Martin	1
Rachel Swan	1
Bill Beacon, The Canadian Press	1
Steve Doerschuk	1
Ben Marth	1
Carey Arvin	1
STEVE HERRICK	1
Dr B Yerram Raju	1
KURT VOIGT	1
Michael Russell | The Oregonian/OregonLive	1
Jonathan Browning	1
Lucette Lagnado	1
Boby	1
Stephen Dunn	1
Ashley Jefferson	1
Alexandria Sage	1
rbushey	1
Lauren Linn	1
Steve Duin | The Oregonian/OregonLive	1
Malcolm Farr	1
PETER WILTJER	1
posted by Irina Tabakina	1
Ellen Zoe Golden	1
Shannon McGrattan	1
Staff writers	1
ANN LEVIN	1
Renee Blakely	1
Jesse Newell	1
Noel C	1
Ken Buday, Halifax Media Services	1
James Skeffington	1
Franklin Covey Co.	1
Jeff Bennett	1
Kasmin Fernandes	1
Faith Karimi	1
Alexander Howard	1
VisionChina Media Inc.	1
"Jim Harrington

jharrington@bayareanewsgroup.com"	1
knoxnews.com	1
Richard Wakelin	1
CHEVEL JOHNSON	1
Lukas I. Alpert	1
Marketplace Homes	1
Paula Heikell	1
Hillel Italie,  The Associated Press	1
Ed Bouchette	1
Rogerio Jelmayer	1
JOCELYN NOVECK	1
Tom Tash	1
Aimee Green | The Oregonian/OregonLive	1
Kodiak Daily Mirror (noreply@kodiakdailymirror.com)	1
Claire Milhench	1
SUMMER BALLENTINE Associated Press	1
SOCi, Inc.	1
Jordan Erica Webber	1
GARY SCHATZ, Associated Press	1
Source: KXXV-TV Waco	1
"Carolyn Bigda 
Chicago Tribune"	1
Matt Porter	1
Michael Roth	1
Abhik Sen	1
Andrew Darby	1
Ty Greenlees	1
Sports mole	1
Robin Cembalest	1
Julie Beck	1
Dan_Biggane	1
Edward Cates	1
Todd Masson, NOLA.com | The Times-Picayune	1
John Byrne	1
William Thornton | wthornton@al.com	1
Surya Bhatia	1
Broadcom Corporation; BRCM Broadband & Cable	1
hanson.crafton@newsandtribune.com(Hanson Crafton)	1
Trevor Hunnicutt	1
DOUG FEINBERG	1
Joe Brennan	1
virginiabusiness.com	1
Sandhya Somashekhar	1
White &amp; Case LLP	1
David Kennedy	1
Brian Fung	1
Adam Forsythe	1
Andrew Trotman	1
Morrison &amp; Foerster LLP - Private Surgeon	1
Rekha Kavoor	1
Madhu Murgia	1
Paul Kiernan	1
Melanie Burton	1
Innova Research	1
foremski	1
SETH WALDER	1
University of Arkansas, Fayetteville	1
CAMILLE BAINS	1
Emma Stoney	1
Debbie Fetterman	1
Source: Tring Today	1
LARRY LAGE	1
Nadia Khomami	1
Kevin Liptak	1
Gillian Shaw	1
Roy Elia, The Walla Walla Union-Bulletin	1
Wayne Cunningham	1
Pat Iversen	1
Jim Belser CNHI	1
Braden Heckman	1
Andrew Krok	1
BS Reporter &amp; PTI	1
Jon Sindreu	1
Aaron Kuriloff	1
JEREMY HAINSWORTH and ROB GILLIES Associated Press	1
Alan J. Heavens,	1
Pavel Alpeyev and Grace Huang	1
James Greenhalgh	1
DAVID BRANDT	1
Nithya Nair | India.com News Desk	1
Simon Kennedy	1
Anthony Wood	1
ClickPay	1
Wayne Cole	1
Citigroup Inc.	1
Ivana Martini	1
Ryan Dube	1
ANICK JESDANUN, AP Technology Writer	1
Dr Anupam Saraph	1
Emmanuel Samoglou	1
Kristin M. Hall  Associated Press	1
Max Gladwell	1
United Launch Alliance	1
IMVU	1
Brett Turner	1
Gregor Hunter	1
Dom Cosentino | NJ Advance Media for NJ.com	1
Joshua Koch &amp; Matthew Costa jkoch@hcnonline.com	1
Augustinus Beo Da Costa	1
Mike McGraw	1
Alex Apple	1
WILL JAMES	1
THOMAS ADAMSON	1
Eric M. Johnson	1
Thomas Biesheuvel	1
David Curry	1
Kristen J Shilton, USATODAY	1
Patrick Hatch	1
Kerry Parnell and Elle Halliwell	1
University of Oxford	1
khal	1
Joe Mcdonald	1
Chesney Hearst	1
Mary Schmich	1
Richard Crump	1
Patricia Nugent	1
Rich Chere | NJ Advance Media for NJ.com	1
Kiel Phegley	1
Jonathan Porter	1
Amy Donaldson	1
Stephen Speckman	1
Sean Sweeney (noreply@blogger.com)	1
Stan Choe, The Associated Press	1
Ananth Pandian	1
Tyson Alger | The Oregonian/OregonLive	1
Heather Havrilesky	1
"Jeff Wilson 
jwilson@star-telegram.com"	1
Letters to the editor	1
Kamalika Sinha	1
David Scheer	1
Kimberly-Clark	1
Dalia Fahmy	1
RALPH D. RUSSO AP College Football Writer	1
Nicole Elphick	1
MATT WILLIAMS/For The Lufkin News	1
Archie van Riemsdijk	1
Kidsday reporters Jenna Schanstra, Maddy Witte and Olivia Correa from Merric	1
Tim O'Bayley	1
clopez	1
Michael Martinez, CNN	1
Jean Case	1
"John Meyer 
The Denver Post"	1
Sara Boboltz	1
Simon Clark	1
"Carli Teproff 
cteproff@miamiherald.com"	1
Kyle Spencer, KSL.com Contributor	1
National Institute of Biomedical Imaging and Bioengineering	1
Alaina Tweddale	1
Joel Martin, VP of Brands & Experiential	1
GP Strategies	1
Chris Greenberg	1
Shane White	1
Jeff McDonald	1
Josh Rogin	1
Peter Henderson	1
DENNIS WASZAK Jr. AP Sports Writer	1
Schnader Harrison Segal &amp; Lewis LLP	1
Rachel Lerman	1
"Denny Walsh and Sam Stanton 
dwalsh@sacbee.com"	1
Scott C. Morgan	1
Bergeson &amp; Campbell, P.C.	1
Terez A. Paylor	1
"Don Ruiz 
Staff writer"	1
Zac Ellis	1
TZ McD	1
Greg Oshust Tribune Sports Correspondent (noreply@cherokeetribune.com)	1
Corie Stark	1
Lauren Kirschman lkirschman@timesonline.com	1
Aaron Barker	1
Julianne Sifers	1
McKinsey &amp; Company Inc. / Koller, Tim / Goedhart, Marc / Wessels, David	1
P Pavan	1
In addition to appearing at a ticketed event in conversation with Holly Firfer at the Book Festival, Dr. Ruth will speak at the Besser Holocaust Memorial Garden to commemorate Kristallnacht at 7 p.m. Tuesday, Nov. 10.	1
herald.ie	1
Chelsea Foresman	1
Joel Sherman	1
Dan Ventura , Week 6 Football Preview	1
Karthik Pasupulate	1
Dan Labbe, Northeast Ohio Media Group	1
Jim Drury	1
AARON BRACY, Associated Press	1
BRAD A. JOHNSON	1
Jennifer Dudley-Nicholson	1
Jeff Barnard, The Associated Press	1
Malathi Nayak	1
LYNN ELBER,	1
Alex Dobuzinskis	1
rdickson@thehill.com (Peter Schroeder )	1
Danny Henley	1
Suzanne Woolley	1
BRITTINI RAY	1
SHANE DINGMAN	1
Anna Tims	1
Marc Pallisco	1
Jeff Whalley	1
Hezki Ezra	1
David Gaffen and Jill Serjeant	1
Justin Palmer	1
Source: WBOC-TV Salisbury	1
Jon Hilkevitch, Gregory Karp	1
Andrew Ferren	1
Jim Morris, The Canadian Press	1
Dave Link	1
Nick Whigham	1
Fredreka Schouten and Christopher Schnaars, USA TODAY	1
Mark Sweney	1
Alistair Barr	1
Adam Smith Times-News asmith@thetimesnews.com	1
Clancy Yeates and James Eyers	1
DOE/Oak Ridge National Laboratory	1
Valencia Higuera	1
Maureen Farrell	1
Paul Kiel and Annie Waldman	1
Brett Hollander, WBAL	1
Troy E. Renck	1
DANIELLA MATAR	1
Katie Richcreek, Bleacher Report	1
Rowan Dean	1
Susanne Smith	1
Antonio Regalado	1
Jeffrey Heller and Maayan Lubell	1
Source: Daily Journal	1
Camal Petro	1
Alston &amp; Bird	1
​Laura Geggel Livescience.com	1
Patrick Lohmann | plohmann@syracuse.com	1
Jeff Seiverling - JDNsports@JDNews.com	1
Leo Barraclough	1
Raphael Satter / Associated Press	1
Relaxnews	1
DANIEL M. BABCOCK	1
Binay Curtis	1
Telegraph staff	1
SD Israni	1
Ryan Nakashima / The Associated Press	1
NEOnline | IR	1
Kyrstin Riley	1
Source: Ealing Times	1
Jesse Schedeen	1
Evann Gastaldo	1
CBRE Group, Inc.	1
Neelasri Barman	1
Amy Kuperinsky | NJ Advance Media for NJ.com	1
David Tweed	1
Aquantia	1
DAVID EXUM dexum@independenttribune.com	1
Jennifer Levine	1
Matt Calkins, The Seattle Times	1
Andy Larsen	1
Maria Tadeo	1
Lucy Kellaway	1
Terrence Thomas	1
Zoe Taylor	1
ANTHONY KEANE, SOPHIE ELSWORTH	1
Daisy Maxey	1
Prajwal Hegde	1
Shirley S. Wang	1
JOHN ROGERS, Associated Press	1
WLOX Staff	1
PAT GRAHAM	1
Kit Buchan	1
Rodrick Anderson	1
JUNNELLE HOGEN The Register-Guard	1
Gareth Beavis	1
Jenny Cooney Carrillo	1
Chegg, Inc.	1
Peter Ray Allison(editor@www.com	1
ICG, Inc.	1
Vernon Silver	1
"ROBERT MITTENDORF 
The Bellingham Herald"	1
Jamie Yuccas CBS News	1
"Jacquie Oliverius

Correspondent"	1
Source: Chardandilminsternews.co.uk	1
Jordan Aubey, Reporter	1
Allyne Mills	1
Boston Scientific	1
Don Mauer	1
Shannon Kohler	1
Josh Dawsey	1
Bourbon Breath	1
J. Patrick Coolican , Minneapolis Star Tribune	1
KYLE POTTER	1
Dario Borghino	1
Lisa Rathke,  The Associated Press	1
Bryan Ashenden	1
NR Ramos	1
Consumer Watchdog	1
CHARLES ODUM	1
Christine Short, Estimize	1
Sarah E. Needleman	1
Jesse Colombo	1
Alice Dutton	1
SCOTT NUSS Southwestern SID	1
Gene Johnson  Associated Press	1
Mark Holan, Special to the Sun News	1
Amos Morale III, NOLA.com | The Times-Picayune	1
"<span class=""author"">Katie Nelson"	1
Alex Barinka and Tommaso Ebhardt	1
Nick Schwartz	1
DAVE MEISEL	1
Paul Schwartz	1
David Driver	1
Namrata Acharya	1
Source: WRAL.com	1
Harvey Sanders	1
Ruth Zive	1
Virginia Yapp, More Content Now	1
Anna Fruits	1
Casey Schaak	1
CBRE Clarion Global Real Estate Income Fund	1
Scott Billeck, The Canadian Press	1
Peggy Noonan	1
Mike Lim	1
Peter Munro	1
Steve Henn	1
Sam Stein	1
"Dave Skretta
The Associated Press"	1
dcantor@dailyprogress.com(Dave Cantor)	1
Rowena Tan	1
Mark Allix	1
JON KRAWCZYNSKI	1
BLAZE	1
Tom Goodwin	1
electricjukebox.com	1
Andrew Marc Noel	1
SusanBrown	1
Jackie Willis ET Online	1
Diana Duel	1
Hailiang Education Group Inc.	1
Jordan News Agency	1
gadgetnote	1
Hilary Joffe	1
Bob Nightengale, USA TODAY Sports	1
8-Foot Cobra Found in Orlando After Over a Month on the Slither	1
Rocket Fuel Inc.	1
Tim Booth, AP Sports Writer	1
Krystina Gustafson	1
ABBEY MASTRACCO, Associated Press	1
Linda Morris	1
Jonathan Vankin	1
Nick Gillespie	1
Ashley Lutz	1
Michelle Fulton	1
Anna-Louise Jackson and Oliver Renick	1
ANICK JESDANUN	1
Adrienne LaFrance	1
Satyajit Das	1
Kevin Lyttle	1
Source: Guardian-series.co.uk	1
Gary R. Blockus	1
Christina Pellegrini	1
JAMES NEVEAU	1
Peter Suciu	1
Laura Yan	1
Claudine Cornelis	1
Chris Carlson	1
Dena Stewart	1
Conor Friedersdorf	1
Holzer & Holzer, LLC	1
Kalyan Nandy	1
Daniel Bates	1
"GREGG BELL 
Staff writer"	1
Eric Steinman	1
IDS Reports	1
Steven Chan	1
Robert Powell	1
ERIC WOODS FOR A-J MEDIA	1
Zeynep Yenisey	1
zmeisel	1
Joe Palazzolo	1
Y-Jean Mun-Delsalle	1
staff reporters Yue Yue and Zhang Yuzhe	1
Pete Spitler	1
Mohar Basu	1
W. Carson Byrd and Matthew Hughey	1
Bret Stephens	1
Bernie Wilson  AP Sports Writer	1
Jonathan Henley	1
Helen Velissaris	1
Lenny Megliola/Special to the News	1
Jade Walker	1
IAN HARRISON, Associated Press	1
Source: The Toronto Star	1
KJ Greenwood	1
Earl Vaughan Jr. - Scholastic sports editor	1
Desire Athow	1
Grace Huang	1
Whitney Friedlander,	1
Staff and wire report	1
RON HARRIS, Associated Press	1
PA Sport	1
Janice Bitters	1
Sam Byford	1
Kate Lobel	1
Tonya Garcia	1
Kolkata	1
Mark Poe	1
Tom Green tgreen@oanow.com	1
Theresa Boyle	1
Radhika Pillai	1
Kerry Gold	1
Apollo Education Group, Inc.	1
Source: Blighter, Enterprise and Chess	1
Prakash Gosavi	1
Bob McGovern	1
Michael Silverman	1
Dave McKinney	1
Oscar Williams-Grut	1
Prodea Systems	1
Virginia Yapp, More Content Now staff	1
Sarah Thomas	1
Lynne O'Donnell And Munir Ahmed, The Associated Press	1
Michelle Brence | The Oregonian/OregonLive	1
Tova Cohen	1
Reem Nasr	1
phoynes	1
Washington Post	1
Luis Gomez	1
ROGER CLEAVELAND REPUBLICAN-AMERICAN	1
Howard Fendrich	1
Mary Ann Gwinn	1
Lionsgate	1
Heidi Rucki	1
staff reporter Wu Hongyuran	1
Johns Hopkins Medicine	1
Mike Morris	1
Jacob Gallant	1
Marissa Sullivan	1
GLENN GAMBOA	1
LORI EWING	1
Messenger Post sports@messengerpostmedia.com	1
Will Heilpern, for CNN	1
Lianne Gutcher	1
JOAN LOWY Associated Press	1
William Pankey	1
JILL LAWLESS, Associated Press	1
Jonah Goldberg	1
Ron Harris  Associated Press	1
Olivia Oran	1
Louise Sassoon	1
Jon Dean	1
Graphic Content	1
Joe Crea, Northeast Ohio Media Group	1
Robert Farrington	1
Tony Baranek	1
Anne Deeter Gallaher	1
Phil Mushnick	1
DARREN COOPER	1
Aabhas Sharma	1
Zach Sturniolo Record Sports Writer	1
Heather Henley	1
Maxwell Carter	1
Dmitry Zhdannikov	1
Gregory Gomer	1
Kristen Scholer	1
Levi & Korsinsky	1
LISA IRIZARRY	1
Mike Vorkunov | NJ Advance Media for NJ.com	1
J.P. GREESON	1
Alanna Maclean	1
TOM KRISHER	1
Scott Maurer	1
PHH Corporation	1
BARRY WILNER, AP Pro Football Writer	1
JJ Kinahan	1
Gerry McCusker	1
Crimesider Staff CBS/AP	1
ROBERT JABLON The Associated Press	1
iswanson@thehill.com (Mike Lillis)	1
Curtis Rockwell	1
Priya Anand	1
Edvard Pettersson	1
Jim Zarroli | NPR	1
Hannah Kuchler and Richard Waters	1
"Jeremy Quach

jquach@mercurynews.com"	1
Jim Lazar	1
Marketing Team	1
Anick Jesdanun	1
Ian Horswill	1
BM Hegde	1
Stanley Stamper, Register Bowling Columnist	1
Nathan Neil	1
Clare Colley	1
intern reporter Han Yi	1
Bill Fleischman,	1
William Hageman	1
Santanu Choudhury	1
Pioneer Press	1
Josh Peter, USA TODAY Sports	1
Tab Schadt	1
Garry Maddox	1
Rice University	1
Kim Mohan, NERHRT Executive Director	1
David Ashworth	1
Annabel Ross	1
Broderick Turner	1
MIKE RILEY sports@newsandtribune.com	1
DEEPTI HAJELA, Associated Press	1
Mark Nageotte	1
MONICA GARSKE	1
Christian Wienberg	1
Paul Ritz	1
NICK MENDOLA	1
FlashFunders	1
Karin Strohecker	1
Catey Hill	1
Thomas Penny and Lyubov Pronina	1
Rosemarie Esposito	1
Dan Worth	1
Mike Nudelman and Linette Lopez	1
John Roskam	1
Keith Coble	1
Daren Butler	1
Emily Gosden , Energy Editor	1
Torah Kachur	1
Georgia Institute of Technology	1
Elizabeth Fielding	1
Cameron Knight, The Cincinnati Enquirer	1
Matt Wixon	1
TOM CANAVAN	1
Rachel Corbett	1
Michelle Kaske	1
Paolo Bosonin	1
Kristen Bobst	1
Cooley LLP	1
Simon Barber	1
Ryan Papaserge/The Evening Tribune	1
Johnson & Weaver, LLP	1
Nick Brown	1
Garrett Gunderson	1
Inti Landauro	1
Vishwanath Nair	1
Katie Badeusz	1
Source: The Beaumont Enterprise	1
Alex Kuzoian	1
Anais Moody	1
Holly Reville	1
TOM BEER	1
Cathy Barrow The Washington Post	1
Gary Volbert	1
Mohammed El Sadafy	1
Ben Leibowitz	1
Nick Webster	1
"Samantha Wohlfeil 
The Bellingham Herald"	1
Jessica Oaks	1
ERIC TUCKER, Associated Press	1
mtrujillo@thehill.com (Mario Trujillo)	1
Dan Agnew	1
Susan Du	1
Joseph Menn	1
Kristine Owram	1
MARLEY JAY	1
GREG MATTURA	1
Steve Almasy, CNN	1
Teresa Politano | For Inside Jersey	1
Joel Rosenblatt	1
The Marietta Daily Journal (noreply@mdjonline.com)	1
DAVID GINSBURG (AP Sports Writer)	1
kmooty@eprisenow.com(Kyle Mooty)	1
Rashmi Drolia	1
"<a href=""/contributor/faye-flam/"">Faye Flam</a>"	1
Jake Mitchell	1
Cbus cardsfan	1
litl LLC	1
Holli Joyce, KSL.com Contributor	1
JANET McCONNAUGHEY	1
Boston Engineering Corporation	1
Science 37	1
Eric Coleman	1
"Geoff Folsom 
Tri-City Herald"	1
Jen McCaffrey | jmccaffr@masslive.com	1
Mark Story	1
SS&amp;C	1
SOU Sports Information	1
Casey Parks | The Oregonian/OregonLive	1
Alison Copeland	1
Monique Merhige	1
Cat Zakrzewski	1
Jordan Honeycutt, Sports Writer	1
listenarabic	1
Bethonie Butler	1
Anthony Fernandez	1
BERNIE WILSON	1
echoblue	1
Emily Yahr Washington Post	1
Michelle Hunter, NOLA.com | The Times-Picayune	1
CHARLES J. GANS	1
"Lary Bump

Correspondent"	1
Philip Ellis	1
Shannah Game	1
Video Report By Brandon Lewis, Reporter	1
Neil Midgley	1
Stephen Fidler	1
Bapoo Malcolm	1
Jill Serjeant,	1
Source: KCCI-TV Des Moines	1
Catie Low and Andrew Hornery	1
Will Zasadny, Manager, Communications	1
Dino Grandoni	1
Source: MyFoxNY	1
Mark Meadows	1
Juan Pablo Spinetto	1
Kat McCall	1
Stacey Cole	1
JIM HAGUE	1
Daniel Hurst	1
Ryerson University	1
Walter Courts	1
From businessinsider.com	1
Janice L. Habuda	1
Critical Mass	1
Mintz Levin - Class Action Recovery For	1
Shuchita Kapur	1
Kelly Flint	1
Chuck Fieldman	1
Peter Loftus	1
Karl Gernetzky	1
Joe Jimenez	1
Joe Lemire, Special for USA TODAY Sports	1
Peter Martin	1
Khaleej Times	1
Source: Malvern Gazette	1
John Zetmeir / Dodge City Daily Globe	1
Allan Muir	1
Howard Schneider and Ann Saphir	1
Written by: Christie Walton	1
David Shoemaker, CPA/PFS, CFP®	1
Alejandro Alba	1
Mintz Levin - Global IP Matters	1
Adam Haigh	1
Mike Freeman	1
BLOOMBERG NEWS	1
Dave Zwicker	1
Benoit Faucon	1
Courier sports staff (noreply@couriernews.com)	1
Saba Hamedy Los Angeles Times	1
Jeremy Page	1
Rae Padilla Francoeur More Content Now	1
David Morgan CBS News	1
Ryan Felton	1
Jim Milton	1
Peter Rudegeair	1
mgoul	1
Anirban Das	1
Melinda Houston	1
LARRY NEUMEISTER	1
ARTHUR STAPLE	1
Paul Schwartzman	1
David Wiegand	1
Rebecca Smith	1
Washington State University	1
NXT-ID, Inc.	1
Derrick Rossignol	1
Wesley Sinor | wsinor@al.com	1
Carolyn Said	1
Guillaume Leverdier	1
Mount Sinai Medical Center	1
REFRAME: The [Brand]	1
Tom Mc Shea	1
Kyle Rosenbaum	1
Rebecca West	1
twocents@thestreet.com (Brian Sozzi)	1
Rajesh Roy	1
Samir Becic	1
Matt Arado	1
Duarte Garrido	1
Valentina Pop	1
Corinne Ramey	1
Michael Clauw	1
Moore &amp; Van Allen PLLC	1
jon	1
Mark Olsen	1
Orrick, Herrington &amp; Sutcliffe LLP	1
CBC Sports	1
Mik Grigg	1
John Preece	1
kevin.harris@newsandtribune.com(Kevin Harris)	1
Dow Jones	1
Kevin Scarbinsky | kscarbinsky@al.com	1
Joseph DiStefano	1
GEOFF MULVIHILL Associated Press	1
David Glance	1
Lori Lowenthal Marcus	1
Kate Kinninmont	1
Paul Gilder	1
Jaymie Shook	1
KIMBERLEY A. MARTIN	1
Jeff Jacobs	1
David Bell	1
Nate Mink | nmink@syracuse.com	1
Andrew Hornery	1
Jennifer A. Dlouhy	1
Kirsti Knolle and Harro Ten Wolde	1
Cynthia Sequin, Purdue University	1
Douglas Rushkoff	1
Anatole Kaletsky	1
Chris Foster	1
Marc Davis	1
John Clyde, KSL.com Contributor	1
Rob Russell	1
Tim Baysinger	1
Jamie MacDonald	1
From cbc.ca	1
Heng Xie, Cathy Kit Ching Chan	1
David McMahon	1
Al Pike apike@fosters.com	1
Matt Mauney	1
Alex J. Jankowski	1
Jamie Stengle Associated Press	1
Ralph Ellis, CNN	1
KAITLIN WRIGHT, SARAH de CRESCENZO AND KEITH SHARON	1
Margaret Hartmann	1
Source: Halesowennews.co.uk	1
Ma Yue	1
Alex Coppola	1
MELISSA D’ARABIAN, Associated Press	1
David Nield	1
Ralph Russo | Associated Press	1
Percy Allen, The Seattle Times	1
Source: Brentwoodweeklynews.co.uk	1
Mattel, Inc.	1
Brad Denny	1
Terry Pluto, The Plain Dealer	1
THE NEWS HERALD sports@pcnh.com	1
Abena Annan	1
Matthias Blamont	1
Frances Schwartzkopff	1
BY CRAIG SHULTZ	1
Hal Habib	1
Bonnie Cao	1
JOHN PETRICK	1
Gregg Makuch	1
GERALD IMRAY	1
Steve Dilbeck	1
Variety	1
Filipino Times	1
Lisa Tovar	1
newsday.com	1
Rob Woodfork	1
Fifi Peters	1
YOUKYUNG LEE	1
Rebecca Santana, The Associated Press	1
Scott Peterson	1
Chris Wood	1
Lindsay Smith	1
Davide Scigliuzzo	1
David Benoit	1
University of Cambridge	1
News Release	1
Zach Epstein	1
Kevin Mahn	1
Matthew Dutton Review Atlas	1
ED GRUVER | Sports Writer	1
J. Scott Trubey	1
Maddie Holeksa	1
Charles McNulty	1
Cell Press	1
Umang Aggarwal	1
Bobby Fernandez	1
Stephen Whitty | ArtiSyndicate	1
Pierre Vasseur	1
Thomas Fox	1
Kavita Devgan	1
Golf.com Staff	1
James Paterson	1
Todd Chromzak	1
Lisa DeJong, The Plain Dealer	1
Michael Tarm of The Associated Press	1
comScore, Inc.	1
